4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43]
0	:invoke	:broadcast	44
0	:ok	:broadcast	44
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44]
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44]
2	:invoke	:broadcast	45
2	:ok	:broadcast	45
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45]
4	:invoke	:broadcast	46
4	:ok	:broadcast	46
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46]
1	:invoke	:broadcast	47
1	:ok	:broadcast	47
2	:invoke	:broadcast	48
2	:ok	:broadcast	48
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48]
4	:invoke	:broadcast	49
4	:ok	:broadcast	49
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49]
1	:invoke	:broadcast	50
1	:ok	:broadcast	50
2	:invoke	:broadcast	51
2	:ok	:broadcast	51
3	:invoke	:broadcast	52
3	:ok	:broadcast	52
4	:invoke	:broadcast	53
4	:ok	:broadcast	53
0	:invoke	:broadcast	54
0	:ok	:broadcast	54
0	:invoke	:broadcast	55
0	:ok	:broadcast	55
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55]
3	:invoke	:broadcast	56
3	:ok	:broadcast	56
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56]
0	:invoke	:broadcast	57
0	:ok	:broadcast	57
1	:invoke	:broadcast	58
1	:ok	:broadcast	58
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58]
3	:invoke	:broadcast	59
3	:ok	:broadcast	59
4	:invoke	:broadcast	60
4	:ok	:broadcast	60
0	:invoke	:broadcast	61
0	:ok	:broadcast	61
0	:invoke	:broadcast	62
0	:ok	:broadcast	62
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62]
2	:invoke	:broadcast	63
2	:ok	:broadcast	63
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63]
4	:invoke	:broadcast	64
4	:ok	:broadcast	64
0	:invoke	:broadcast	65
0	:ok	:broadcast	65
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65]
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65]
3	:invoke	:broadcast	66
3	:ok	:broadcast	66
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66]
0	:invoke	:broadcast	67
0	:ok	:broadcast	67
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67]
1	:invoke	:broadcast	68
1	:ok	:broadcast	68
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68]
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68]
4	:invoke	:broadcast	69
4	:ok	:broadcast	69
0	:invoke	:broadcast	70
0	:ok	:broadcast	70
0	:invoke	:broadcast	71
0	:ok	:broadcast	71
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71]
2	:invoke	:broadcast	72
2	:ok	:broadcast	72
3	:invoke	:broadcast	73
3	:ok	:broadcast	73
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73]
0	:invoke	:broadcast	74
0	:ok	:broadcast	74
1	:invoke	:broadcast	75
1	:ok	:broadcast	75
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75]
3	:invoke	:broadcast	76
3	:ok	:broadcast	76
4	:invoke	:broadcast	77
4	:ok	:broadcast	77
0	:invoke	:broadcast	78
0	:ok	:broadcast	78
0	:invoke	:broadcast	79
0	:ok	:broadcast	79
1	:invoke	:broadcast	80
1	:ok	:broadcast	80
2	:invoke	:broadcast	81
2	:ok	:broadcast	81
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68 69 69 70 70 71 71 72 72 73 74 74 75 75 76 77 77 78 78 79 79 80 80 81 81]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 78 78 79 79 80 80 81 81]
0	:invoke	:broadcast	82
0	:ok	:broadcast	82
0	:invoke	:broadcast	83
0	:ok	:broadcast	83
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83]
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68 69 69 70 70 71 71 72 72 73 74 74 75 75 76 77 77 78 78 79 79 80 80 81 81 82 82 83 83]
4	:invoke	:broadcast	84
4	:ok	:broadcast	84
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84]
0	:invoke	:broadcast	85
0	:ok	:broadcast	85
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85]
2	:invoke	:broadcast	86
3	:invoke	:broadcast	87
2	:ok	:broadcast	86
3	:ok	:broadcast	87
4	:invoke	:broadcast	88
4	:ok	:broadcast	88
0	:invoke	:broadcast	89
0	:ok	:broadcast	89
0	:invoke	:broadcast	90
0	:ok	:broadcast	90
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90]
3	:invoke	:broadcast	91
3	:ok	:broadcast	91
4	:invoke	:broadcast	92
4	:ok	:broadcast	92
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84 85 87 86 86 87 88 88 89 90 91 91 92 92]
0	:invoke	:broadcast	93
0	:ok	:broadcast	93
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93]
2	:invoke	:broadcast	94
2	:ok	:broadcast	94
3	:invoke	:broadcast	95
3	:ok	:broadcast	95
4	:invoke	:broadcast	96
4	:ok	:broadcast	96
0	:invoke	:broadcast	97
0	:ok	:broadcast	97
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84 85 87 86 86 87 88 88 89 90 91 91 92 92 93 94 94 95 95 96 96 97]
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 94 95 95 96 96 97 97]
2	:invoke	:broadcast	98
2	:ok	:broadcast	98
3	:invoke	:broadcast	99
3	:ok	:broadcast	99
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 78 78 79 79 80 80 81 81 82 82 83 83 84 85 85 86 87 87 86 88 89 89 90 90 91 91 92 93 93 94 94 95 95 96 97 97 98 98 99 99]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84 85 87 86 86 87 88 88 89 90 91 91 92 92 93 94 94 95 95 96 96 97 98 98 99 99]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84 85 87 86 86 87 88 88 89 90 91 91 92 92 93 94 94 95 95 96 96 97 98 98 99 99]
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 94 95 95 96 96 97 97 98 99 99]
2	:invoke	:broadcast	100
2	:ok	:broadcast	100
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68 69 69 70 70 71 71 72 72 73 74 74 75 75 76 77 77 78 78 79 79 80 80 81 81 82 82 83 83 84 84 85 85 87 86 86 88 88 89 89 90 90 91 92 92 93 93 94 94 95 96 96 97 97 98 98 99 100 100]
4	:invoke	:read	nil
