:nemesis	:info	:start-partition	:majority
1	:ok	:broadcast	56
2	:invoke	:broadcast	57
2	:ok	:broadcast	57
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:broadcast	58
4	:ok	:broadcast	58
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57]
1	:invoke	:broadcast	59
1	:ok	:broadcast	59
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57]
0	:invoke	:broadcast	60
0	:ok	:broadcast	60
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:broadcast	61
2	:ok	:broadcast	61
3	:invoke	:broadcast	62
3	:ok	:broadcast	62
4	:invoke	:broadcast	63
4	:ok	:broadcast	63
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61]
0	:invoke	:broadcast	64
0	:ok	:broadcast	64
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
3	:invoke	:broadcast	65
3	:ok	:broadcast	65
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
1	:invoke	:broadcast	66
1	:ok	:broadcast	66
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
0	:invoke	:read	nil
1	:invoke	:broadcast	67
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64]
1	:ok	:broadcast	67
2	:invoke	:broadcast	68
2	:ok	:broadcast	68
3	:invoke	:broadcast	69
3	:ok	:broadcast	69
4	:invoke	:broadcast	70
4	:ok	:broadcast	70
0	:invoke	:broadcast	71
0	:ok	:broadcast	71
0	:invoke	:broadcast	72
0	:ok	:broadcast	72
1	:invoke	:broadcast	73
1	:ok	:broadcast	73
2	:invoke	:broadcast	74
2	:ok	:broadcast	74
3	:invoke	:broadcast	75
3	:ok	:broadcast	75
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:broadcast	76
0	:ok	:broadcast	76
0	:invoke	:broadcast	77
0	:ok	:broadcast	77
1	:invoke	:broadcast	78
1	:ok	:broadcast	78
2	:invoke	:broadcast	79
2	:ok	:broadcast	79
3	:invoke	:broadcast	80
3	:ok	:broadcast	80
4	:invoke	:broadcast	81
4	:ok	:broadcast	81
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79]
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:broadcast	82
4	:ok	:broadcast	82
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82]
1	:invoke	:read	nil
1	:ok	:read	[82]
2	:invoke	:broadcast	83
2	:ok	:broadcast	83
3	:invoke	:broadcast	84
3	:ok	:broadcast	84
4	:invoke	:read	nil
4	:ok	:read	[82 83 84]
0	:invoke	:broadcast	85
0	:ok	:broadcast	85
0	:invoke	:broadcast	86
0	:ok	:broadcast	86
1	:invoke	:broadcast	87
1	:ok	:broadcast	87
2	:invoke	:broadcast	88
2	:ok	:broadcast	88
3	:invoke	:read	nil
3	:ok	:read	[82 83 84 85 86 87 88]
4	:invoke	:read	nil
4	:ok	:read	[82 83 84 85 86 87 88]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88]
0	:invoke	:broadcast	89
0	:ok	:broadcast	89
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	[82 83 84 85 86 87 88 89]
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89]
3	:invoke	:broadcast	90
3	:ok	:broadcast	90
4	:invoke	:broadcast	91
4	:ok	:broadcast	91
0	:invoke	:broadcast	92
0	:ok	:broadcast	92
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92]
1	:invoke	:read	nil
1	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92]
2	:invoke	:read	nil
3	:invoke	:broadcast	93
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92]
3	:ok	:broadcast	93
4	:invoke	:read	nil
4	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93]
1	:invoke	:read	nil
1	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93]
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93]
3	:invoke	:read	nil
3	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93]
4	:invoke	:read	nil
4	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93]
0	:invoke	:broadcast	94
0	:ok	:broadcast	94
0	:invoke	:broadcast	95
0	:ok	:broadcast	95
1	:invoke	:read	nil
1	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95]
2	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
3	:invoke	:read	nil
3	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95]
4	:invoke	:broadcast	96
4	:ok	:broadcast	96
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96]
1	:invoke	:read	nil
1	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95 96]
2	:invoke	:broadcast	97
2	:ok	:broadcast	97
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
2	:invoke	:read	nil
3	:invoke	:read	nil
1	:invoke	:read	nil
4	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97]
3	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97]
0	:ok	:read	[1 3 4 5 9 10 14 15 19 21 23 25 28 31 33 36 37 38 39 40 43 45 46 48 49 50 53 55 57 60 61 64 68 71 72 74 76 77 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97]
1	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97]
4	:ok	:read	[82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97]
